VIN,GRADE,STOCKNUMBER,MAKE,MODEL,SERIES,YEAR,PRICE,BODY,CYLINDERS,DISPLACEMENT,EXTERIOR,INTERIOR,MILEAGE,TRANSMISSION,UPHOLSTERY,ENDDATE,ABGLOCATION,BUYDATE,BUYERNAME,WATCHEDBY,DEALERSHIPNAME,DRIVE TRAIN,CONDITION REPORT,SALES REP
1GAZGPFP6K1161023,4.3,,Chevrolet,Express Passenger,Lt,2019,19900,Van,6,4.3l,White,Grey,37449,A/t,Cloth,2020-02-27T19:30:00.000Z,Cleveland- OH,,,,,RWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEex%2b1oew38KTQUuWcF9NMn83u3r9u0xBWG%2fc0UQqykqI8aXwDfnz7xy9s6uyryMLnuHesM0SCm3OFYSvv4Os7aqUeYVkFhMwVgpMTZvhvg0w%3d%3d,
1C6SRFET7KN721336,4.2,,Ram,1500,Rebel,2019,34000,Pickup,8,5.7l,Grey,Black,35854,8-speed A/t,Leather,2020-02-24T19:30:00.000Z,St Louis- MO,,,,,4WD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToF7cUDY5CRehTwvR69D8WEYcZ71WAauT8RqKZo%2bJV5uU%2f5JBoCX6JLqT5z2JfpiEN3THplPKmEOEGQlsCMzpsLAUSPqsVjKtPDrr1gk0cunTQ%3d%3d,
3C4PDDGG2JT449519,4.3,,Dodge,Journey,Crossroad,2018,15500,Suv,6,3.6l,White,Black,36152,A/t,Cloth&leather,2020-02-24T19:30:00.000Z,Ft Lauderdale- FL,,,,,AWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToHIkAyIbBCbniA73YPn%2f3dWy0FXEhBl5goIh%2fXQ4akeioe4%2bSodeSnmalH3F9g0sX6rWzU7FFH0v6dzRn5XmsMPva9E2SBVxCz2sTsE%2fFYvVQ%3d%3d,
2T1BURHE5JC061918,4.2,,Toyota,Corolla,Le,2018,12900,Sedan,4,1.8l,Grey,Black,35103,A/t,Cloth,2020-02-25T19:30:00.000Z,Seattle- WA,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFBD62%2f8LxMLvDdTvsCZ7uB3yULcig23M1XeyIDdxfniehsJN%2b9lfYjyOhTerkVzBgeVdnYonRrEnSgB8j9LwDVcQA1wJ2Iwe0ZQ49AWT960Q%3d%3d,
2GNAXUEV0K6215049,4.3,,Chevrolet,Equinox,Lt,2019,17200,Suv,4,1.5l,Grey,Grey,31871,6-speed A/t,Cloth,2020-02-24T19:30:00.000Z,Jacksonville- FL,,,,,AWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFB6MPNcJCju1jzPToLw7820hslTp%2fGTW2F1jFBjxJOCELnOzZPqE%2fcn2Zie2Q%2b1mVaKH0NcMNLRvaC7mvlm6ZG%2b0Qu2hO%2bi9rkrhXevThwfg%3d%3d,
1G1105SA2JU145549,3.7,,Chevrolet,Impala,Lt,2018,14400,Sedan,4,2.5l,Silver,Grey,39394,6-speed A/t,Cloth&leather,2020-02-25T19:30:00.000Z,Seattle- WA,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToF1TWO7AKzx2qpbnPO1XcTe9kz7WiBrHYhhExaXtic9hpgdW74QFNpE1ObThRQp3IiwDxA3BSRl08agS%2fYn6Hmg0RyF0vQBPsuqoPder6R7HQ%3d%3d,
2T1BURHE7KC234971,4,,Toyota,Corolla,Le,2019,13000,Sedan,4,1.8l,White,Other,32352,Continuously Variable Trans,Cloth,2020-02-27T19:30:00.000Z,Newark- NJ,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToHsInL6s2mGMQVIdJVKYDXkOSbb4I7UFASm3h2ZR3cAVmLawyVJLDinYbz2RjYdkDp7NeSayj7CK7KSqFO0hMbfuGLnhQShO7pHIRQJ6V9yBA%3d%3d,
1FMCU9G93KUB33837,4.6,,Ford,Escape,Se,2019,17800,Sedan,4,2.0l,Grey,Grey,27792,6-speed A/t,Cloth,2020-02-27T19:30:00.000Z,Kansas City- MO,,,,,4WD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEwYsO5u6%2fiDKVPLcJ08O%2bHvpdx%2bb16s%2fLEMAitdHBbVRIfhV7KccuM%2fRdiW1GCTFJwCNJbJuMwQb1kLA9J3ixCHw4WU4rusZs9C12o0P6m3w%3d%3d,
2C3CCAKG3KH578116,4.3,,Chrysler,300,Limited,2019,20600,Sedan,6,3.6l,Grey,Black,34381,8-speed A/t,Leather,2020-02-27T19:30:00.000Z,Kansas City- MO,,,,,AWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEUaC9Fz%2bw6TO6KH2hfnvKl1eUW6AdcclE%2bwQlGr4Xr8SV1OcZ3HAgmRrvlsPcf3JqvZfmdVJMiClVrPUn7AbNaZHMg5QjfIJyve%2b%2fJuNFy7A%3d%3d,
1G11Z5SA7KU114465,3.6,,Chevrolet,Impala,Lt,2019,15600,Sedan,4,2.5l,Silver,Grey,34891,6-speed A/t,Cloth&leather,2020-02-27T19:30:00.000Z,St Louis- MO,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEUoP0obaJ8RR6SGf0xPX2d9IpUFE4JztQ0hSDzDU566%2fHcMYqyYllcC2bwUryAN0AHLRsfvUIGqXPuxVOTkZ0JyCMztwGnKL8iu0vBi8v%2bBw%3d%3d,
